cluster	pair	neglog10p	best_count	n_terms_in_pair	theme_label	theme_id	theme_term	n_pairs	member_terms
33	3	1.43818333568104	5	2	superoxide anion generation (+7 related terms)	GO:0042554	superoxide anion generation	3	hydrogen peroxide catabolic process | photorespiration | reactive oxygen species biosynthetic pro... | reactive oxygen species metabolic proces... | regulation of superoxide anion generatio... | sulfur compound metabolic process | superoxide anion generation | superoxide metabolic process
33	4	1.61278819968627	68	2	superoxide anion generation (+7 related terms)	GO:0042554	superoxide anion generation	3	hydrogen peroxide catabolic process | photorespiration | reactive oxygen species biosynthetic pro... | reactive oxygen species metabolic proces... | regulation of superoxide anion generatio... | sulfur compound metabolic process | superoxide anion generation | superoxide metabolic process
36	1	1.51243743974362	18	1	pectin catabolic process (+3 related terms)	GO:0045490	pectin catabolic process	3	carbohydrate metabolic process | glucan catabolic process | pectin biosynthetic process | pectin catabolic process
36	3	2.68613277963085	44	2	pectin catabolic process (+3 related terms)	GO:0045490	pectin catabolic process	3	carbohydrate metabolic process | glucan catabolic process | pectin biosynthetic process | pectin catabolic process
36	4	2.48412615628832	12	1	pectin catabolic process (+3 related terms)	GO:0045490	pectin catabolic process	3	carbohydrate metabolic process | glucan catabolic process | pectin biosynthetic process | pectin catabolic process
39	1	1.50003813440381	6	1	organic substance catabolic process (+2 related terms)	GO:1901575	organic substance catabolic process	3	glycoside catabolic process | organic substance catabolic process | regulation of lipid catabolic process
39	3	1.53685386327365	2	1	organic substance catabolic process (+2 related terms)	GO:1901575	organic substance catabolic process	3	glycoside catabolic process | organic substance catabolic process | regulation of lipid catabolic process
39	4	1.61582586119297	259	1	organic substance catabolic process (+2 related terms)	GO:1901575	organic substance catabolic process	3	glycoside catabolic process | organic substance catabolic process | regulation of lipid catabolic process
48	1	1.72147503526298	426	1	stem vascular tissue pattern formation (+6 related terms)	GO:0010222	stem vascular tissue pattern formation	3	gametophyte development | leaf abscission | leaf phyllotactic patterning | pattern specification process | petal epidermis patterning | plant organ development | stem vascular tissue pattern formation
48	3	1.74112337062787	26	4	stem vascular tissue pattern formation (+6 related terms)	GO:0010222	stem vascular tissue pattern formation	3	gametophyte development | leaf abscission | leaf phyllotactic patterning | pattern specification process | petal epidermis patterning | plant organ development | stem vascular tissue pattern formation
48	4	2.15552282425432	7	2	stem vascular tissue pattern formation (+6 related terms)	GO:0010222	stem vascular tissue pattern formation	3	gametophyte development | leaf abscission | leaf phyllotactic patterning | pattern specification process | petal epidermis patterning | plant organ development | stem vascular tissue pattern formation
49	1	1.49976352517436	2	1	regulation of mitochondrial mRNA stabili... (+2 related terms)	GO:0044528	regulation of mitochondrial mRNA stabili...	3	negative regulation of t-circle formatio... | positive regulation of miRNA processing | regulation of mitochondrial mRNA stabili...
49	3	1.31131327571588	2	1	regulation of mitochondrial mRNA stabili... (+2 related terms)	GO:0044528	regulation of mitochondrial mRNA stabili...	3	negative regulation of t-circle formatio... | positive regulation of miRNA processing | regulation of mitochondrial mRNA stabili...
49	4	1.61278819968627	2	1	regulation of mitochondrial mRNA stabili... (+2 related terms)	GO:0044528	regulation of mitochondrial mRNA stabili...	3	negative regulation of t-circle formatio... | positive regulation of miRNA processing | regulation of mitochondrial mRNA stabili...
