logFC	padj
HELPU_017691	4.61951257484264	0.000344487661523487
HELPU_015941	-0.990916027453037	0.00912345923285116
HELPU_022131	1.28218533742034	0.038999997372463
HELPU_010745	-7.30438591201253	7.11171776256082e-05
HELPU_010746	-5.51118505232397	0.0415425267571976
HELPU_010744	-7.74784448453303	8.03394441275135e-06
HELPU_015554	2.05575254176281	0.00754739888810304
HELPU_015555	-2.20532677042092	0.0066787866726727
HELPU_022156	4.47737274188387	2.47102218508416e-07
HELPU_018691	0.967545904565126	0.0331350881665348
HELPU_018653	4.56437055008849	0.00828361587455549
HELPU_009968	-3.4991788683952	0.000603640355658589
HELPU_017663	2.03291818404875	0.0136607145108265
HELPU_015091	1.44240542720951	0.0021040706083732
HELPU_008365	4.89085604783875	0.000591405426240781
HELPU_022586	1.77622741325239	0.0130917662623645
HELPU_018522	-2.94666049147064	0.0257416077878684
HELPU_004377	1.08909103913904	0.0231721994580737
HELPU_012802	1.88353083954932	0.0274640751010056
HELPU_005194	2.01854213699133	0.00348388127816443
HELPU_014301	-5.90150651105459	0.0339271606785717
HELPU_014302	3.55713822561064	0.00548962961539155
HELPU_012287	-1.40697893495748	0.0399825668520084
HELPU_007002	1.49586919459558	0.0317508968224899
HELPU_016266	1.49529854229672	0.0466301482203218
HELPU_018287	-2.30727792061891	0.0164317096837946
HELPU_007705	0.888940787667901	0.0260837710490469
HELPU_004399	1.5573886861155	0.0230995811697401
HELPU_004398	-1.88851734801321	0.00299755440638289
HELPU_004405	2.60533539140152	0.00829724172281666
HELPU_004407	3.4472372884092	0.00794392095935784
HELPU_009108	-7.8021352280612	0.00216684630715419
HELPU_009109	-2.69426759331894	0.00488189886410457
HELPU_006513	3.1720874137772	0.00877485550965509
HELPU_023867	2.24840766927753	0.0119610514862034
HELPU_002094	0.87841052179697	0.0371553683295651
HELPU_002092	1.81109873667417	0.0164325139835923
HELPU_002109	-3.31973919868121	0.0118927072597166
HELPU_002110	-4.69051217741452	0.00247820945059459
HELPU_002119	7.25809200600527	2.25329840972415e-26
HELPU_007047	2.30741977155451	6.04931671634681e-05
HELPU_020558	-1.85584883179881	0.0289508641878636
HELPU_016530	3.12781651130502	0.0291857389499659
HELPU_018039	-3.63781040668902	0.0327664249733039
HELPU_020322	2.3062241923369	0.000748374673382232
HELPU_017556	-1.99533257526659	0.00118963577408266
HELPU_012627	2.86270724084385	3.98785301128741e-05
HELPU_009707	3.19049881853983	0.0082186733581044
HELPU_009715	-2.77656628013475	0.0342317618217085
HELPU_017879	1.42949929697073	0.0399825668520084
HELPU_019743	-3.84723299851848	4.76823560291678e-06
HELPU_019744	-3.81208737643476	6.90257662788443e-05
HELPU_017601	-1.16511787251698	0.0364713983324842
HELPU_013418	-3.72226990840997	5.31159908731322e-05
HELPU_012253	-7.20722034704416	1.74541214161146e-06
HELPU_012254	-1.69091672887367	0.022024869577542
HELPU_012252	-8.6002155352273	1.35530490756166e-07
HELPU_010512	-1.64153129138393	0.0123201673314803
HELPU_004826	2.05397597354649	0.0035532958507073
HELPU_004823	4.10884186059369	0.0425180111793413
HELPU_012345	3.51130402591612	0.0072285478236023
HELPU_016076	-2.70724123715677	0.00113865099292771
HELPU_013667	1.56208241732771	0.0231032126815105
HELPU_012752	-1.87458063532958	0.0331350881665348
HELPU_021594	1.32636994015769	0.045613627592927
HELPU_018792	-6.5735310566626	0.000446183749099717
HELPU_016202	-7.37541640762035	0.00118678233602551
HELPU_006703	3.14800123533841	0.0188974061524617
HELPU_010508	-0.846902352773347	0.0286837267394549
