logFC	padj
HELPU_001290	2.65473642834683	0.0263118814952356
HELPU_009931	-2.66773479161265	0.0472024442889621
HELPU_007094	1.20166075393378	0.030947493780867
HELPU_013798	-2.12448959592464	0.0312424530433867
HELPU_013799	-3.82014403541951	0.030947493780867
HELPU_010126	2.21877944852634	0.0480269253655627
HELPU_012146	-6.94323398462396	0.00475547107376986
HELPU_000097	2.57846697287474	0.0179751529034205
HELPU_000104	2.00372645766614	0.0375187075100207
HELPU_010826	-4.10572623230599	0.00999761526607366
HELPU_004249	-3.48372058800874	0.0364060191047568
HELPU_007291	-3.25550823123168	0.0154433684028955
HELPU_007286	2.68034660226803	0.0249778823485348
HELPU_015742	-6.45026610078509	0.0283238114518193
HELPU_001773	3.72449077080832	0.0151148241823144
HELPU_011550	4.88944701262869	0.0477411573006881
HELPU_017295	4.11034026414266	0.0101603132956
HELPU_006463	2.69877628184724	0.00994384903794214
HELPU_017011	1.36859209684175	0.030947493780867
HELPU_021968	-2.8289675091472	0.0312424530433867
HELPU_007637	3.22564615348148	0.00911655538128917
HELPU_005473	2.32102639216619	0.0494919903448657
HELPU_017513	-1.51939349585723	0.0397732922305629
HELPU_000358	2.51694310405028	0.030947493780867
HELPU_010808	1.69742738589566	0.00036206194011516
HELPU_007427	2.75486822899879	0.00994384903794214
HELPU_018442	2.65886094334121	0.0187415314757581
HELPU_017809	7.06112235316305	0.0151148241823144
HELPU_009043	1.68730926918672	0.0193075969205147
HELPU_010290	-9.69378338759775	0.00077273270977327
HELPU_006710	1.38172889936358	0.0482749615137381
HELPU_022143	-3.57166817078094	0.0104953106146766
HELPU_004536	2.83684107027648	0.0187415314757581
HELPU_014939	-4.51646649793602	0.030947493780867
HELPU_003383	1.49178441657769	0.0477411573006881
HELPU_003395	-2.70028279657757	0.0224773981161612
HELPU_008145	2.1506224104817	0.0151148241823144
HELPU_008550	-3.05648679375842	0.00994384903794214
HELPU_007782	-4.11639230595042	0.0204811605307206
HELPU_023675	-3.97427365784279	0.0282655619757623
