logFC	padj
HELPU_013165	1.83831318901238	0.0266356931384177
HELPU_014835	1.65259124711116	0.035040322179439
HELPU_014613	-7.73180260804574	0.00016070287268218
HELPU_000375	7.05779530349022	0.0408936157977676
HELPU_010808	-0.953922480470763	0.0332364622628718
HELPU_010290	-7.81418700847331	1.46857727878165e-07
HELPU_014939	2.77489669898489	0.035040322179439
HELPU_003976	1.71280994226327	0.000112014674314118
HELPU_022146	1.4814325680665	0.0174378221874295
HELPU_002338	1.62880290286962	0.035040322179439
HELPU_020268	-1.95301281049409	0.0174378221874295
HELPU_020234	-5.93800871107634	0.00329359115984406
HELPU_003362	1.71856031994457	0.0289201280683728
HELPU_012721	-5.73806564342323	0.013427809117146
HELPU_001805	-1.05548443659124	0.00511187525268043
HELPU_017765	-1.40750212728453	0.0470355505539796
HELPU_016361	-3.21147699983112	0.0185932475524518
HELPU_018736	-5.39310487222014	0.00825430631834894
HELPU_002979	-1.43385125741017	0.0127328697108146
HELPU_010300	1.66592048947063	0.0231523321120471
HELPU_014123	-7.44501020959709	0.0161141998332795
HELPU_010730	-1.91897719356328	0.0161141998332795
HELPU_017873	2.21248903640056	0.00572891337408477
HELPU_006839	1.62528506972906	0.0332364622628718
HELPU_021825	-6.4479918294286	0.0275399483580187
HELPU_005716	1.92941294844959	0.0185932475524518
HELPU_005601	1.539911189077	0.0237981368592032
HELPU_003224	2.55472879247693	0.0252442294156443
HELPU_000185	-1.28014271237068	0.0268572050994078
HELPU_000197	-2.73835990260736	0.0102968716277717
HELPU_016328	5.70682614184599	0.00712244736301423
HELPU_020982	1.0427486220411	0.0433088247917617
HELPU_019228	-5.9921444641989	0.00180120040464243
HELPU_019333	2.81050025483081	0.0147879024117479
HELPU_013096	-5.2776838045391	0.035040322179439
HELPU_007729	1.73756912509131	0.0174378221874295
HELPU_008326	1.85808800101686	0.0174378221874295
HELPU_014793	7.83708897851676	2.78935527622063e-06
HELPU_010921	2.79843328880206	0.0275399483580187
HELPU_003336	-1.31219021246147	0.0345486468407822
HELPU_003739	3.7503518452604	0.00237709391904713
HELPU_010940	-3.57280172465333	0.0129491111215171
HELPU_010938	-6.06640309746006	0.00237709391904713
HELPU_005740	1.42181985187257	0.0346865820014146
HELPU_005845	-4.97598544654416	0.0275399483580187
HELPU_021587	2.46426853378393	0.0388530683302702
HELPU_007423	1.21074248362677	0.0427870122664176
HELPU_021890	3.90902587294104	0.0416050524710156
HELPU_007806	-2.9605434064796	0.010408247076627
HELPU_011170	1.08794942729724	0.0174378221874295
HELPU_013139	1.59265390208233	0.0454139856703389
HELPU_023878	1.58537045002007	0.035040322179439
HELPU_012089	-1.85135657755359	0.0388377832407059
HELPU_005545	2.33552073003872	0.0171645346537865
HELPU_002467	1.26253123608872	0.035040322179439
HELPU_002771	-5.51449152476163	0.000818290785720945
HELPU_002769	-5.50949013878608	0.00117964028363597
HELPU_016847	1.53856926560094	0.0151023376313642
HELPU_013103	-7.63163876950297	0.0326435349778834
HELPU_004060	7.94683641356588	0.0174378221874295
HELPU_005217	4.27414956693246	0.022868680947838
HELPU_006719	1.89740900693022	0.0416050524710156
HELPU_019932	-5.08590264662448	0.00320429097053363
HELPU_005165	1.71250205248845	0.0161141998332795
HELPU_010089	5.86215216936874	0.0126281587367056
HELPU_006455	1.55790093634801	0.0462687321678154
HELPU_011956	-8.63154156417584	0.000761886505626861
HELPU_011957	-6.73118009533199	0.00816817552639864
HELPU_011958	-9.46500805182549	0.00237709391904713
HELPU_021003	1.11112160104355	0.0264757806865751
HELPU_023779	-5.92170568850313	0.0183074396637458
HELPU_020203	-3.00829402836226	0.00511187525268043
HELPU_013729	-6.89097526860222	0.00299730044727813
HELPU_009356	-4.3255432992593	0.0470355505539796
HELPU_009355	-6.82310808820157	0.0332364622628718
HELPU_011579	-2.09087083493831	0.000222108071959156
HELPU_000714	3.48813530270553	0.00125412036648098
HELPU_000729	-2.40078934873958	0.0413881910962003
HELPU_003522	1.19887618480046	0.0499755316313031
HELPU_019662	-2.05317680083854	0.0329816285280633
HELPU_000859	1.45384332394124	0.00344438847966265
HELPU_003446	-3.36591618857327	0.00234008820733096
HELPU_012315	-6.9482341966015	0.0218476846373053
HELPU_021276	3.59212222695099	0.0125345728575256
HELPU_010617	-1.98929372539534	1.55328454074125e-05
HELPU_000808	-1.36751338845374	0.0329816285280633
HELPU_011697	-4.80976744079208	0.00125412036648098
HELPU_002743	1.95772917834418	0.0470355505539796
HELPU_022450	2.83163940929194	0.014243630609549
HELPU_008518	1.84044747833501	0.0484945186870471
HELPU_021845	1.99688931831781	0.0338372912630962
HELPU_012749	-1.32593765482136	0.00511187525268043
HELPU_023279	-4.71707271593095	0.00511187525268043
HELPU_004439	-3.67513401978937	0.00865263391438788
HELPU_002049	-1.8415853050703	0.035040322179439
HELPU_012914	2.39783529648003	0.00853380216052445
HELPU_009532	1.81022215153293	0.0174378221874295
HELPU_022484	-7.07555641553525	0.014243630609549
HELPU_002610	1.80739045230032	0.00550834279680983
HELPU_002617	2.05175796064417	0.0237981368592032
HELPU_023884	-5.29176376119085	0.0147879024117479
HELPU_008201	-2.81893595533547	0.0281763225276714
HELPU_011110	2.94104771268904	0.0329816285280633
HELPU_012411	1.84311325982122	0.0391547642900227
HELPU_004090	1.43399612144205	0.0101530498381928
HELPU_019526	1.95575951192806	0.00164973814400306
HELPU_003544	-1.46891145911704	0.0127622741756101
HELPU_023692	1.32303618186664	0.0499755316313031
HELPU_000570	2.2496614779731	0.0275399483580187
