logFC	logCPM	F	PValue	FDR
jcf7180000418060_60801_61000	3.20998669928639	2.44604720784139	49.6197942243771	2.58963739874335e-08	4.45438425292897e-05
jcf7180000347773_9201_9300	4.82187913534105	2.35343172397104	49.5367648975041	2.63663154884462e-08	4.50235406606365e-05
jcf7180000356462_15201_15400	4.64637704101831	0.898014343756213	49.4545507597033	2.68405176369161e-08	4.55035598680354e-05
jcf7180000379398_11501_11800	3.81267805353323	1.41974760130901	49.2821919971886	2.78641159974175e-08	4.69014771350532e-05
jcf7180000362233_32101_32200	3.24345840626248	1.32720869393539	49.1561874446672	2.86384469492857e-08	4.78629692343698e-05
jcf7180000349075_36101_36200	4.33089834629508	1.37960111859036	49.0954352402256	2.90198673452203e-08	4.81588785899191e-05
jcf7180000393180_69101_69400	3.61814073933766	3.6937755477715	48.7226325004773	3.14809142690544e-08	5.18776848141044e-05
jcf7180000371905_51801_51900	4.2659981735605	2.80331615369183	48.4791322929638	3.32065565431721e-08	5.37388712998659e-05
jcf7180000413498_19801_20400	2.04855552053674	3.44467234184222	48.4670868453715	3.32944702538094e-08	5.37388712998659e-05
jcf7180000347142_102401_102500	4.54157257229858	2.25576456959422	48.3136479658438	3.44360863854902e-08	5.52033890668514e-05
jcf7180000370453_17901_18900	2.5218211734933	3.81294628680683	48.2125974712294	3.52104261966372e-08	5.53594093152405e-05
jcf7180000349458_9401_9700	3.36760749844276	1.36524848033852	47.8731389215202	3.79490336483166e-08	5.81852277568263e-05
jcf7180000352624_52001_52300	6.21685046404298	1.85339692275722	47.8428616829961	4.02440435448433e-08	6.07919814447813e-05
jcf7180000348024_12401_12500	3.86288970471782	3.27314758348821	47.5395387050895	4.0860185615301e-08	6.08688373029759e-05
jcf7180000358478_26301_27000	2.40478428122493	4.0448223256076	47.5033296221052	4.11900511055894e-08	6.08688373029759e-05
jcf7180000354548_701_800	5.26163434139542	1.89452297677097	47.4694589799538	4.15011576710477e-08	6.08688373029759e-05
jcf7180000353535_29801_30000	5.7459113558334	1.71346815213109	47.4602224881757	4.15864257133605e-08	6.08688373029759e-05
jcf7180000420447_32801_32900	4.92506336666757	0.663236385002022	47.4007058054558	4.21403151109958e-08	6.12988110877857e-05
jcf7180000421148_117001_117600	2.25212741805201	3.66885240753117	47.3313425886574	4.27956789844501e-08	6.18196498062812e-05
jcf7180000358610_12601_12700	4.00245311677754	1.11826255945239	47.1313718312105	4.47459666307821e-08	6.31403100749127e-05
jcf7180000355993_4401_4600	3.30949815874717	1.33403176879363	47.052045269275	4.55454136000723e-08	6.32223566252405e-05
jcf7180000364678_34601_34900	3.87935342117802	2.08191955645824	47.045801419068	4.5608975248528e-08	6.32223566252405e-05
jcf7180000359945_28101_29000	2.6692941538737	2.81397679083089	46.9474463128937	4.66226644098302e-08	6.42495759698298e-05
jcf7180000347059_74801_75000	4.21616703012058	2.27908687828242	46.7985175021987	4.82030882621875e-08	6.56595719772991e-05
jcf7180000353949_14101_14300	2.64269731220141	1.79582762073423	46.6995811919853	4.92841745481218e-08	6.59878694115878e-05
jcf7180000347759_211201_211700	3.82109961541429	3.06191150797752	46.6540918114406	4.97897999116694e-08	6.62882267739255e-05
jcf7180000393026_26801_27100	2.76793833505276	4.51673151087047	46.4574830215034	5.20389473836941e-08	6.82726601333221e-05
jcf7180000357244_12101_12400	3.19914546944957	3.62645200589798	46.45685172789	5.20463394818023e-08	6.82726601333221e-05
jcf7180000349197_116401_117100	3.06352926587467	1.87868043161032	46.4480526474166	5.21494872671789e-08	6.82726601333221e-05
jcf7180000392864_90801_91000	3.89955468953198	4.08889040657443	46.4588554274057	5.2867214775699e-08	6.88299007133052e-05
jcf7180000414360_29001_29300	4.28611193164102	1.21301647737299	46.2188789346704	5.49133896875028e-08	7.07125420396159e-05
jcf7180000348984_7101_7400	4.50792228274368	0.721433023979959	45.923400145013	5.87070426585333e-08	7.23895360319637e-05
jcf7180000350638_21601_22500	3.90872978620832	3.6749513512155	46.0189519401025	5.92373953998308e-08	7.23895360319637e-05
jcf7180000421116_157801_158100	3.57247192320038	1.29314212790991	45.6446357393694	6.25402412565754e-08	7.48762483994786e-05
jcf7180000388865_10601_10900	3.55600975458767	1.28625970426608	45.642915479896	6.25646997124371e-08	7.48762483994786e-05
jcf7180000349139_2201_2300	3.8995547632737	4.08838798478597	45.7349127698103	6.25951977063424e-08	7.48762483994786e-05
jcf7180000417159_226701_227100	3.22621939522768	3.22041179036262	45.5448756635088	6.3975435413175e-08	7.61407844977278e-05
