combination	observed	expected	p_value	p_label	significant
AvsM_1D|||AvsM_3D|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||AvsA3|||MvsM3	0	0.03	1	1.000	FALSE
AvsM_1D|||AvsM_3D|||MvsM1|||MvsM3	3	0.23	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA1	0	0.06	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||AvsA3	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||MvsM1	0	0.32	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsM_3U|||MvsM3	22	0.76	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsM_1U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA1|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA1|||MvsM3	0	0.03	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA3|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_1U|||MvsM1|||MvsM3	0	0.13	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1|||MvsM1	0	0.02	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA1|||MvsM3	0	0.05	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||AvsA3|||MvsM3	0	0.03	1	1.000	FALSE
AvsM_1D|||AvsM_3U|||MvsM1|||MvsM3	5	0.14	0.0099009900990099	0.010	TRUE
AvsM_1D|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_1D|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsA1|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1D|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||AvsA1	0	0.08	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||AvsA3	0	0.01	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsM_3U|||MvsM1	4	0.22	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_1U|||AvsM_3U|||MvsM3	11	0.57	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsM_1U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA1|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA1|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||AvsA3|||MvsM3	0	0.02	1	1.000	FALSE
AvsM_3D|||AvsM_1U|||MvsM1|||MvsM3	0	0.07	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA1|||AvsA3	0	0.01	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA1|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA1|||MvsM3	0	0.04	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA3|||MvsM1	0	0.01	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||AvsA3|||MvsM3	0	0.04	1	1.000	FALSE
AvsM_3D|||AvsM_3U|||MvsM1|||MvsM3	1	0.06	0.0693069306930693	0.069	FALSE
AvsM_3D|||AvsA1|||AvsA3|||MvsM1	0	0	1	1.000	FALSE
AvsM_3D|||AvsA1|||AvsA3|||MvsM3	0	0	1	1.000	FALSE
AvsM_3D|||AvsA1|||MvsM1|||MvsM3	1	0	0.0099009900990099	0.010	TRUE
AvsM_3D|||AvsA3|||MvsM1|||MvsM3	0	0	1	1.000	FALSE
AvsM_1U|||AvsM_3U|||AvsA1|||AvsA3	0	0	1	1.000	FALSE
