	Expression	Targeting
HELPU_010120	-3.28961282078739	3.64231156574366
HELPU_010630	-1.75657872341456	1.56025766055505
HELPU_010830	-0.934750302609302	2.03400071636148
HELPU_011034	-1.85491606830998	5.96384441293569
HELPU_011084	-1.61589538490948	4.22482186046237
HELPU_011177	-11.9177014618854	5.77617801831899
HELPU_011781	-2.00964240638873	2.31253011379818
HELPU_011945	-2.01086773276001	2.80703935283162
HELPU_012207	-1.76674258380547	2.68788607789776
HELPU_012830	-1.40722110500212	4.38299681663079
HELPU_012881	-0.92474696855894	1.62987810658591
HELPU_013069	-0.656849573305475	6.1344112886286
HELPU_013104	-7.31335599743845	3.0140440623005
HELPU_013213	-1.17692320319716	2.68157791906775
HELPU_013888	-2.50125094251778	2.81500786926389
HELPU_014194	-1.12421363776477	2.19915470177387
HELPU_014321	-2.94779707242007	2.22464245682457
HELPU_014389	-1.23967079249357	1.81796118792869
HELPU_014968	-1.53588843209656	1.56655534044089
HELPU_015672	-4.12147363472142	5.91189017560996
HELPU_015885	-1.41425844911752	1.18289049086888
HELPU_016049	-2.30214008574176	2.09610878109668
HELPU_016076	-2.84673174501016	1.77566703801106
HELPU_016393	-1.16115116997997	1.90257595545601
HELPU_017753	-2.45126668187426	1.77634983711698
HELPU_018365	-1.65486880202912	4.85500105778431
HELPU_018730	-0.830538482058128	2.65026297924231
HELPU_019153	-6.07680969783311	5.60498392512527
HELPU_019227	-5.05155998376819	5.78221701086667
HELPU_019353	-3.71304586662728	1.70852805703495
HELPU_019844	-0.893268945213809	1.50100863590717
HELPU_019892	-3.01850707979298	2.50302684456681
HELPU_019900	-2.88915588271109	3.22492027246561
HELPU_020060	-1.58114936070003	2.47487873884083
HELPU_020095	-1.69414023862161	2.08062988030582
HELPU_020122	-4.20175245609331	2.49343353607501
HELPU_020182	-1.83566659686487	1.56350623995681
HELPU_020229	-1.09827380102811	1.40133633076484
HELPU_020358	-5.27722268203228	1.40582833741257
HELPU_020561	-3.50147900913684	1.25356995186025
HELPU_020641	-1.16524280971538	5.00170594631689
HELPU_020802	-2.63277480645538	6.31980530491746
HELPU_021057	-2.94109680526148	2.50117797297841
HELPU_021208	-3.10331611111055	1.3139641899091
HELPU_021373	-3.04166715866337	7.16472214026591
HELPU_021818	-1.013651238945	2.17411450526815
HELPU_022056	-4.92953815796325	1.64540786122471
HELPU_023282	-5.85023955370148	3.58768498568141
HELPU_001157	3.04247933315527	-2.49125139920845
HELPU_005678	1.53389690047017	-3.82625921084544
HELPU_010917	1.50271483111055	-3.01589920755053
HELPU_012657	0.890651604690863	-2.08131517336044
HELPU_015339	1.52492343828067	-3.39439775773555
HELPU_022596	3.19937428570028	-2.62393550555715
HELPU_023856	1.71714647546167	-7.12819622652396
HELPU_000044	0.771292709327129	-5.30156351303888
HELPU_000611	0.796079355979311	-5.05690298266666
HELPU_000975	4.2820400289472	-3.40757139376939
HELPU_001034	1.92630320255138	-3.77931080993076
HELPU_001359	0.660670778224195	-2.52248055129153
HELPU_003357	0.729025221173265	-5.18417856561011
HELPU_004102	2.32532922907501	-8.44173920300874
HELPU_004502	1.46148011578974	-3.11285009197009
HELPU_004954	1.15641308162516	-3.36096530538811
HELPU_006164	0.905229834505829	-2.04887205010656
HELPU_006537	1.15490222716346	-4.50174016553601
HELPU_006593	6.86936542980791	-4.26958585268413
HELPU_006811	1.05460012986492	-4.21772535747897
HELPU_007159	4.42185740981306	-2.17786448349019
HELPU_007251	1.35046722701811	-3.44893940090498
HELPU_007928	3.14764235645107	-3.88842863160114
HELPU_008491	0.645592492909611	-7.17178119908704
HELPU_008922	0.797085152657458	-1.99018023626041
HELPU_009247	1.27590147335308	-1.44718975039532
HELPU_009543	2.88648604021989	-3.81263812935914
HELPU_009743	3.54448288244032	-2.47219536528316
HELPU_010350	1.15702421409973	-4.72329739198295
HELPU_010475	2.97791557548527	-1.80907149664762
HELPU_010693	1.06088070858073	-2.72214602642421
HELPU_010710	0.667437047883907	-2.01335967184654
HELPU_011174	0.890938861669066	-2.03378090490238
HELPU_011579	2.22836328704821	-2.78425230361609
HELPU_011623	1.82819702278389	-3.93354785967536
HELPU_011891	0.843242922377506	-3.09799579391726
HELPU_012137	1.09181651579414	-2.59065898710535
HELPU_012301	1.06805145893475	-2.83880295054484
HELPU_012305	1.28815625373323	-4.66407268498374
HELPU_012447	1.46119686476988	-1.86696184967755
HELPU_012469	1.14348138290419	-8.03515700481784
HELPU_012482	5.14592501865263	-4.71283136645723
HELPU_013165	3.05521026664143	-1.32805049464962
HELPU_013186	1.39747146491803	-2.12536425227302
HELPU_013291	0.629134514392366	-2.97986957987278
HELPU_014355	2.25466283873364	-2.7204901458553
HELPU_014989	0.890657306097323	-1.82940527627715
HELPU_014990	0.91952931691596	-5.3497350357065
HELPU_015336	2.64687321021937	-2.17663136953029
HELPU_015552	0.677872562281902	-6.41543522873718
HELPU_015665	2.26259192403318	-2.61077826863115
HELPU_016245	6.90219934779757	-4.02998939870106
HELPU_016689	7.54767582032604	-7.01567863715955
HELPU_017210	3.60408565630745	-1.47214762948345
HELPU_017295	6.62934937328271	-2.96271231343245
HELPU_017439	1.9901236550255	-1.22636864878815
HELPU_018238	1.05167047837677	-4.78547340897576
HELPU_019085	0.766308535891362	-1.5371768840951
HELPU_019680	3.13938789199079	-7.34860270485724
HELPU_019695	2.36989123295586	-2.35780274636056
HELPU_019780	7.56831384800469	-3.37995699350734
HELPU_019986	0.858417177702001	-2.22503869052076
HELPU_021088	1.6375430980938	-2.40759409131781
HELPU_022517	2.41110622125671	-2.52318821087388
HELPU_022952	6.48032597833254	-2.11892169507944
HELPU_023562	3.88764657932984	-3.04975907181475
HELPU_023837	2.71561322431047	-2.23031631953852
HELPU_000263	4.05683860618475	1.70575705066999
HELPU_003360	2.63175589111971	1.72770100777285
HELPU_010900	6.13717076568408	4.37041141216726
HELPU_010901	6.45560187440348	3.59249564134405
HELPU_010902	7.43555398996633	4.11761160697735
HELPU_012860	8.74535294215118	2.59254110935797
HELPU_013365	2.18822952938045	1.78496586124361
HELPU_014793	6.43010602947402	3.46950549842642
HELPU_015500	6.81813078115476	1.6047742869549
HELPU_019947	9.21075496134925	8.14586507588154
HELPU_022024	6.63129755061035	2.77643607547647
HELPU_000126	1.73259807745031	6.14314645815003
HELPU_000177	1.43825234278001	4.65018441211158
HELPU_000184	1.91823850286532	1.66372462188021
HELPU_000227	3.66868325506586	2.11455784886967
HELPU_000470	1.84228227330226	2.42802972048701
HELPU_000528	1.60474813356748	3.5393872613526
